Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
335,335,0,0,225,0,33
336,336,0,0,225,0,33
337,337,0,0,225,0,33
338,338,0,0,225,0,33
339,339,0,0,225,0,33
340,340,0,0,225,0,33
341,341,0,0,225,0,33
342,342,0,0,225,0,33
343,343,0,0,225,0,33
344,344,0,0,225,0,33
345,345,0,0,225,0,33
346,346,0,0,225,0,33
347,347,0,0,225,0,33
348,348,0,0,225,0,33
349,349,0,0,225,0,33
350,350,0,0,225,0,33
351,351,0,0,225,0,33
352,352,0,0,225,0,33
353,353,0,0,225,0,33
354,354,0,0,225,0,33
355,355,0,0,225,0,33
356,356,0,0,225,0,33
357,357,0,0,225,0,33
358,358,0,0,225,0,33
359,359,0,0,225,0,33
360,360,0,0,225,0,33
361,361,0,0,225,0,33
362,362,0,0,225,0,33
363,363,0,0,225,0,33
364,364,0,0,225,0,33
365,365,0,0,225,0,33
366,366,0,0,225,0,33
367,367,0,0,225,0,33
368,368,0,0,225,0,33
369,369,0,0,225,0,33
370,370,0,0,225,0,33
371,371,0,0,225,0,33
372,372,0,0,225,0,33
373,373,0,0,225,0,33
374,374,0,0,225,0,33
375,375,0,0,225,0,33
376,376,0,0,225,0,33
377,377,0,0,225,0,33
378,378,0,0,225,0,33
379,379,0,0,225,0,33
380,380,0,0,225,0,33
381,381,0,0,225,0,33
382,382,0,0,225,0,33
383,383,0,0,225,0,33
384,384,0,0,225,0,33
385,385,0,0,225,0,33
386,386,0,0,225,0,33
387,387,0,0,225,0,33
388,388,0,0,225,0,33
389,389,0,0,225,0,33
390,390,0,0,225,0,33
391,391,0,0,225,0,33
392,392,0,0,225,0,33
393,393,0,0,225,0,33
394,394,0,0,225,0,33
395,395,0,0,225,0,33
396,396,0,0,225,0,33
397,397,0,0,225,0,33
398,398,0,0,225,0,33
399,399,0,0,225,0,33
400,400,0,0,225,0,33
401,401,0,0,225,0,33
402,402,0,0,225,0,33
403,403,0,0,225,0,33
404,404,0,0,225,0,33
405,405,0,0,225,0,33
406,406,0,0,225,0,33
407,407,0,0,225,0,33
408,408,0,0,225,0,33
409,409,0,0,225,0,33
410,410,0,0,225,0,33
411,411,0,0,225,0,33
412,412,0,0,225,0,33
413,413,0,0,225,0,33
414,414,0,0,225,0,33
415,415,0,0,225,0,33
416,416,0,0,225,0,33
417,417,0,0,225,0,33
418,418,0,0,225,0,33
419,419,0,0,225,0,33
420,420,0,0,225,0,33
421,421,0,0,225,0,33
422,422,0,0,225,0,33
423,423,0,0,225,0,33
424,424,0,0,225,0,33
425,425,0,0,225,0,33
426,426,0,0,225,0,33
427,427,0,0,225,0,33
428,428,0,0,225,0,33
429,429,0,0,225,0,33
430,430,0,0,225,0,33
431,431,0,0,225,0,33
432,432,0,0,225,0,33
433,433,0,0,225,0,33
434,434,0,0,225,0,33
435,435,0,0,225,0,33
436,436,0,0,225,0,33
437,437,0,0,225,0,33
438,438,0,0,225,0,33
439,439,0,0,225,0,33
440,440,0,0,225,0,33
441,441,0,0,225,0,33
442,442,0,0,225,0,33
443,443,0,0,225,0,33
444,444,0,0,225,0,33
445,445,0,0,225,0,33
446,446,0,0,225,0,33
447,447,0,0,225,0,33
448,448,0,0,225,0,33
449,449,0,0,225,0,33
450,450,0,0,225,0,33
451,451,0,0,225,0,33
452,452,0,0,225,0,33
453,453,0,0,225,0,33
454,454,0,0,225,0,33
455,455,0,0,225,0,33
456,456,0,0,225,0,33
457,457,0,0,225,0,33
458,458,0,0,225,0,33
459,459,0,0,225,0,33
460,460,0,0,225,0,33
461,461,0,0,225,0,33
462,462,0,0,225,0,33
463,463,0,0,225,0,33
464,464,0,0,225,0,33
465,465,0,0,225,0,33
466,466,0,0,225,0,33
467,467,0,0,225,0,33
468,468,0,0,225,0,33
469,469,0,0,225,0,33
470,470,0,0,225,0,33
471,471,0,0,225,0,33
472,472,0,0,225,0,33
473,473,0,0,225,0,33
474,474,0,0,225,0,33
475,475,0,0,225,0,33
476,476,0,0,225,0,33
477,477,0,0,225,0,33
478,478,0,0,225,0,33
479,479,0,0,225,0,33
480,480,0,0,225,0,33
481,481,0,0,225,0,33
482,482,0,0,225,0,33
483,483,0,0,225,0,33
484,484,0,0,225,0,33
485,485,0,0,225,0,33
486,486,0,0,225,0,33
487,487,0,0,225,0,33
488,488,0,0,225,0,33
489,489,0,0,225,0,33
490,490,0,0,225,0,33
491,491,0,0,225,0,33
492,492,0,0,225,0,33
493,493,0,0,225,0,33
494,494,0,0,225,0,33
495,495,0,0,225,0,33
496,496,0,0,225,0,33
497,497,0,0,225,0,33
