Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
511,511,0,0,145,24,60
512,512,1,0,145,24,60
513,513,0,0,145,24,60
514,514,0,0,145,24,60
515,515,0,0,145,24,60
516,516,0,0,145,24,60
517,517,0,0,145,24,60
518,518,0,0,145,24,60
519,519,0,0,145,24,60
520,520,0,0,145,24,60
521,521,0,0,145,24,60
522,522,0,0,145,24,60
523,523,0,0,145,24,60
524,524,0,0,145,24,60
525,525,0,0,145,24,60
526,526,0,0,145,24,60
527,527,0,0,145,24,60
528,528,0,0,145,24,60
529,529,0,0,145,24,60
530,530,0,0,145,24,60
531,531,0,0,145,24,60
532,532,0,0,145,24,60
533,533,0,0,145,24,60
534,534,0,0,145,24,60
535,535,0,0,145,24,60
536,536,0,0,145,24,60
537,537,0,0,145,24,60
538,538,0,0,145,24,60
539,539,0,0,145,24,60
540,540,0,0,145,24,60
541,541,0,0,145,24,60
542,542,0,0,145,24,60
543,543,0,0,145,24,60
544,544,0,0,145,24,60
545,545,0,0,145,24,60
546,546,0,0,145,24,60
547,547,0,0,145,24,60
548,548,0,0,145,24,60
549,549,0,0,145,24,60
550,550,0,0,145,24,60
551,551,0,0,145,24,60
552,552,0,0,145,24,60
553,553,0,0,145,24,60
554,554,0,0,145,24,60
555,555,0,0,145,24,60
556,556,0,0,145,24,60
557,557,0,0,145,24,60
558,558,0,0,145,24,60
559,559,0,0,145,24,60
560,560,0,0,145,24,60
561,561,0,0,145,24,60
562,562,0,0,145,24,60
563,563,0,0,145,24,60
564,564,0,0,145,24,60
565,565,0,0,145,24,60
566,566,0,0,145,24,60
567,567,0,0,145,24,60
568,568,0,0,145,24,60
569,569,0,0,145,24,60
570,570,0,0,145,24,60
571,571,0,0,145,24,60
572,572,0,0,145,24,60
573,573,0,0,145,24,60
574,574,0,0,145,24,60
575,575,0,0,145,24,60
576,576,0,0,145,24,60
577,577,0,0,145,24,60
578,578,0,0,145,24,60
579,579,0,0,145,24,60
580,580,0,0,145,24,60
581,581,0,0,145,24,60
582,582,0,0,145,24,60
583,583,0,0,145,24,60
584,584,0,0,145,24,60
585,585,0,0,145,24,60
586,586,0,0,145,24,60
587,587,0,0,145,24,60
588,588,0,0,145,24,60
589,589,0,0,145,24,60
590,590,0,0,145,24,60
591,591,0,0,145,24,60
592,592,0,0,145,24,60
593,593,0,0,145,24,60
594,594,0,0,145,24,60
595,595,0,0,145,24,60
596,596,0,0,145,24,60
597,597,0,0,145,24,60
598,598,0,0,145,24,60
599,599,0,0,145,24,60
600,600,0,0,145,24,60
601,601,0,0,145,24,60
602,602,0,0,145,24,60
603,603,0,0,145,24,60
604,604,0,0,145,24,60
605,605,0,0,145,24,60
606,606,0,0,145,24,60
607,607,0,0,145,24,60
608,608,0,0,145,24,60
609,609,0,0,145,24,60
610,610,0,0,145,24,60
611,611,0,0,145,24,60
612,612,0,0,145,24,60
613,613,0,0,145,24,60
614,614,0,0,145,24,60
615,615,0,0,145,24,60
616,616,0,0,145,24,60
617,617,0,0,145,24,60
618,618,0,0,145,24,60
619,619,0,0,145,24,60
620,620,0,0,145,24,60
621,621,0,0,145,24,60
622,622,0,0,145,24,60
623,623,0,0,145,24,60
624,624,0,0,145,24,60
625,625,0,0,145,24,60
626,626,0,0,145,24,60
627,627,0,0,145,24,60
628,628,0,0,145,24,60
629,629,0,0,145,24,60
630,630,0,0,145,24,60
631,631,0,0,145,24,60
632,632,0,0,145,24,60
633,633,0,0,145,24,60
634,634,0,0,145,24,60
635,635,0,0,145,24,60
636,636,0,0,145,24,60
637,637,0,0,145,24,60
638,638,0,0,145,24,60
639,639,0,0,145,24,60
640,640,0,0,145,24,60
641,641,0,0,145,24,60
642,642,0,0,145,24,60
643,643,0,0,145,24,60
644,644,0,0,145,24,60
645,645,0,0,145,24,60
646,646,0,0,145,24,60
647,647,0,0,145,24,60
648,648,0,0,145,24,60
649,649,0,0,145,24,60
650,650,0,0,145,24,60
651,651,0,0,145,24,60
652,652,0,0,145,24,60
653,653,0,0,145,24,60
654,654,0,0,145,24,60
655,655,0,0,145,24,60
656,656,0,0,145,24,60
657,657,0,0,145,24,60
658,658,0,0,145,24,60
659,659,0,0,145,24,60
660,660,0,0,145,24,60
661,661,0,0,145,24,60
662,662,0,0,145,24,60
663,663,0,0,145,24,60
664,664,0,0,145,24,60
665,665,0,0,145,24,60
666,666,0,0,145,24,60
667,667,0,0,145,24,60
668,668,0,0,145,24,60
669,669,0,0,145,24,60
670,670,0,0,145,24,60
671,671,0,0,145,24,60
672,672,0,0,145,24,60
673,673,0,0,145,24,60
674,674,0,0,145,24,60
675,675,0,0,145,24,60
676,676,0,0,145,24,60
677,677,0,0,145,24,60
678,678,0,0,145,24,60
679,679,0,0,145,24,60
680,680,0,0,145,24,60
681,681,0,0,145,24,60
682,682,0,0,145,24,60
683,683,0,0,145,24,60
684,684,0,0,145,24,60
685,685,0,0,145,24,60
686,686,0,0,145,24,60
687,687,0,0,145,24,60
688,688,0,0,145,24,60
689,689,0,0,145,24,60
690,690,0,0,145,24,60
691,691,0,0,145,24,60
692,692,0,0,145,24,60
693,693,0,0,145,24,60
694,694,0,0,145,24,60
695,695,0,0,145,24,60
696,696,0,0,145,24,60
697,697,0,0,145,24,60
698,698,0,0,145,24,60
699,699,0,0,145,24,60
700,700,0,0,145,24,60
701,701,0,0,145,24,60
702,702,0,0,145,24,60
703,703,0,0,145,24,60
704,704,0,0,145,24,60
705,705,0,0,145,24,60
706,706,0,0,145,24,60
707,707,0,0,145,24,60
708,708,0,0,145,24,60
709,709,0,0,145,24,60
710,710,0,0,145,24,60
711,711,0,0,145,24,60
712,712,0,0,145,24,60
713,713,0,0,145,24,60
714,714,0,0,145,24,60
715,715,0,0,145,24,60
716,716,0,0,145,24,60
717,717,0,0,145,24,60
718,718,0,0,145,24,60
719,719,0,0,145,24,60
720,720,0,0,145,24,60
721,721,0,0,145,24,60
722,722,0,0,145,24,60
723,723,0,0,145,24,60
724,724,0,0,145,24,60
725,725,0,0,145,24,60
726,726,0,0,145,24,60
727,727,0,0,145,24,60
728,728,0,0,145,24,60
729,729,0,0,145,24,60
730,730,0,0,145,24,60
731,731,0,0,145,24,60
732,732,0,0,145,24,60
733,733,0,0,145,24,60
734,734,0,0,145,24,60
735,735,0,0,145,24,60
736,736,0,0,145,24,60
737,737,0,0,145,24,60
738,738,0,0,145,24,60
