Time_s,Original,After_60Hz_Notch,After_120Hz_Notch,After_500Hz_LPF
0.10184483,1981,1983.78590382767,1985.33941223499,1996.69710150082
0.10185912,2006,2008.79006199533,2010.35633639917,1996.22333493574
0.10187341,1984,1986.79373409532,1988.37177587408,1995.78336579807
0.1018877,1982,1984.80055602441,1986.39663577723,1995.36575605344
0.10190199,1965,1967.8098534266,1969.42888832908,1994.94899766749
0.10191628,1945,1947.82404928035,1949.47579638729,1994.50657542992
0.10193057,1935,1937.84219922087,1939.53451913847,1994.00830802292
0.10194486,1918,1920.86389767072,1922.60383217974,1993.43088641924
0.10195915,1915,1917.88820041097,1919.68089530344,1992.75749268597
0.10197344,1911,1913.91335542976,1915.76044593327,1991.98231032894
0.10198773,1933,1935.93599521908,1937.83237762477,1991.11863636761
0.10200202,1935,1937.95531182771,1939.89426530134,1990.19424804853
0.10201631,1934,1936.9744028148,1938.95539977222,1989.22701791677
0.1020306,1931,1933.99394099684,1936.01779563714,1988.22012605842
0.10204489,1953,1956.01082846177,1958.07215654966,1987.18542027218
0.10205918,1977,1980.02142956104,1982.10757705279,1986.15847108188
0.10207347,1991,1994.02682297562,1996.12729715847,1985.1818928496
0.10208776,2007,2010.02808724709,2012.13455621198,1984.28773707085
0.10210205,2018,2021.02562743667,2023.13057304382,1983.50052626412
0.10211634,2010,2013.02267650531,2015.12504887895,1982.82986434794
0.10213063,1989,1992.02354385306,1994.13091028951,1982.25719203979
0.10214492,1993,1996.02661248308,1998.14330255105,1981.75514842909
0.10215921,2020,2023.02541794029,2025.14283254383,1981.3272198762
0.1021735,2019,2022.02063471722,2024.1315278601,1980.99751464477
0.10218779,2024,2027.0152264819,2029.11828228971,1980.77526492254
0.10220208,2029,2032.00838558796,2034.10067463291,1980.66110340468
0.10221637,2018,2021.00226721081,2023.0851716856,1980.65052583899
0.10223066,2025,2027.99660200953,2030.07096555972,1980.73226746661
0.10224495,1996,1998.9938139414,2001.06532702986,1980.88777026882
0.10225924,2002,2004.9940369744,2007.06865503205,1981.09020993863
0.10227353,2000,2002.99363441866,2005.07003790037,1981.32702771873
0.10228782,1992,1994.99449172153,1997.07513144158,1981.59272211754
0.10230211,2009,2011.99404994194,2014.07625844871,1981.88451577828
0.1023164,2017,2019.99015485152,2022.06695862569,1982.21683365859
0.10233069,2021,2023.98455809858,2026.05249013116,1982.6045843913
0.10234498,2001,2003.98103083821,2006.04416697152,1983.0416248598
0.10235927,2018,2020.97782201015,2023.03673506577,1983.51477337794
0.10237356,2004,2006.9741236501,2009.02777095157,1984.02086894291
0.10238785,2009,2011.97155194053,2014.02212326396,1984.55395156733
0.10240214,1993,1995.9703759765,1998.02059817167,1985.10154385313
0.10241643,2005,2007.96965278265,2010.02036576006,1985.65435526178
0.10243072,2003,2005.96749699084,2008.01577038878,1986.21391147203
0.10244501,2009,2011.9647170211,2014.00923861882,1986.78553275413
0.1024593,1995,1997.96292906551,2000.00561913687,1987.36539700362
0.10247359,1991,1993.9634795282,1996.0089495048,1987.93916439784
0.10248788,1993,1995.96421317233,1998.01276239852,1988.49632722995
0.10250217,1972,1974.96741918029,1977.02392365635,1989.02657578744
0.10251646,1983,1985.9718848357,1988.03879241896,1989.51639015917
0.10253075,1987,1989.9742431212,1992.04726718093,1989.96976649216
0.10254504,1982,1984.97664912696,1987.05581378792,1990.39491634368
0.10255933,1941,1943.98516255771,1946.08260750463,1990.76982240415
0.10257362,1965,1967.9958763252,1970.11592100487,1991.06612855073
0.10258791,1970,1973.00259507665,1975.13716723916,1991.2940064485
0.1026022,1979,1982.00733962215,1984.15241060098,1991.47826065937
0.10261649,1940,1943.01603548116,1945.17942568416,1991.61344090992
0.10263078,1955,1958.02787336551,1960.21577922671,1991.67598675908
0.10264507,1951,1954.03813891752,1956.24732519894,1991.66396071246
0.10265936,1959,1962.04777489635,1964.27689123906,1991.58936067883
0.10267365,1923,1926.06109037408,1928.31740121612,1991.44452709929
0.10268794,1934,1937.07767998751,1939.367632963,1991.20826328846
0.10270223,1939,1942.09202123385,1944.41101553115,1990.88235060587
0.10271652,1946,1949.10465295025,1951.44916508152,1990.48669756572
0.10273081,1927,1930.11880711717,1932.49177548413,1990.02644626274
0.1027451,1944,1947.13313629443,1949.53480108041,1989.49971480765
0.10275939,1981,1984.14009895038,1986.55561870852,1988.93708474531
0.10277368,2002,2005.13915821918,2007.55262484943,1988.39658983095
0.10278797,1990,1993.13691469185,1995.54562647288,1987.91064223637
0.10280226,1993,1996.1357926993,1998.54189714275,1987.47682544888
0.10281655,1991,1994.13444535262,1996.53739599857,1987.08886445983
0.10283084,2005,2008.13139147025,2010.52768087543,1986.75103276077
0.10284513,2036,2039.12218775633,2041.49942676359,1986.4887125878
0.10285942,2008,2011.1124919358,2013.4696121402,1986.32116141992
0.10287371,2031,2034.10338171806,2036.44147190082,1986.24184355171
0.102888,2010,2013.09391457618,2015.4121800657,1986.24396503275
0.10290229,2010,2013.08718810564,2015.39102993257,1986.31318206966
0.10291658,2019,2022.07916190528,2024.36590084852,1986.43932555261
0.10293087,2013,2016.07064452968,2018.33922100403,1986.62445865498
0.10294516,2000,2003.06459892101,2005.31987981419,1986.85673087376
0.10295945,2001,2004.0600819554,2006.30504698632,1987.11761312667
0.10297374,1987,1990.05722801416,1992.2951249223,1987.39260030444
0.10298803,1988,1991.05603673222,1993.29011143264,1987.66757315616
0.10300232,1985,1988.05502641499,1990.28556085781,1987.9346594415
0.10301661,1983,1986.05460102889,1988.28268507988,1988.19039644594
0.1030309,2003,2006.05166320405,2008.27219333007,1988.44132025508
0.10304519,2009,2012.04513640686,2014.2508600421,1988.70869886762
0.10305948,2023,2026.03582976496,2028.22111740884,1989.01341797189
0.10307377,2014,2017.02576422621,2019.18903204908,1989.36473713138
0.10308806,2009,2012.01749886397,2014.16228262919,1989.75465018387
0.10310235,1986,1989.01291870043,1991.14652296187,1990.15946448098
0.10311664,2034,2037.00488579309,2039.12034016128,1990.57596666838
0.10313093,2025,2027.99151603778,2030.07808832388,1991.03381993698
0.10314522,2030,2032.97860172327,2035.03714955287,1991.5466018855
0.10315951,1997,1999.96937498826,2002.00722056477,1992.09423205178
0.1031738,1997,1999.96450841704,2001.9903166739,1992.6436549739
0.10318809,1949,1951.96602090566,1953.99248992901,1993.15410703659
0.10320238,1953,1955.97337204443,1958.01211256429,1993.58207082211
0.10321667,1942,1944.98157755571,1947.03422718017,1993.90691381749
0.10323096,1954,1956.98955967575,1959.0555990458,1994.13145705405
0.10324525,1932,1934.99879951445,1937.08066988219,1994.25708139681
0.10325954,1902,1905.0149522665,1907.12639961195,1994.25941077693
0.10327383,1903,1906.03491837672,1908.18348134026,1994.10655975172
0.10328812,1893,1896.05600299987,1898.24382477369,1993.78992595475
0.10330241,1920,1923.07470401239,1925.29692094062,1993.32422187624
0.1033167,1928,1931.08859759862,1933.33549941232,1992.74501759547
0.10333099,1925,1928.10172450842,1930.37168343331,1992.08003858873
0.10334528,1943,1946.11273794792,1948.40143230984,1991.345694266
0.10335957,1951,1954.1201568854,1956.4203045366,1990.56776107437
0.10337386,1961,1964.12505936918,1966.43153670129,1989.77196227474
0.10338815,1964,1967.12811924446,1969.43715228593,1988.97611056891
0.10340244,1962,1965.13095286201,1967.44200138585,1988.18861275891
0.10341673,1950,1953.13558012965,1955.45214285826,1987.40415787735
0.10343102,1927,1930.14482833082,1932.47605477504,1986.60018937197
0.10344531,1953,1956.15357879884,1958.49837779996,1985.76389229149
0.1034596,1967,1970.156848922,1972.50416630147,1984.91992079384
0.10347389,1980,1983.15639068664,1985.49868114608,1984.10312356628
0.10348818,1957,1960.15718760204,1962.4968747983,1983.32172150391
0.10350247,1966,1969.15977795479,1971.50036087109,1982.56334209662
0.10351676,1973,1976.16012132845,1978.49701845299,1981.82902772379
0.10353105,1982,1985.15821831824,1987.48685224443,1981.13435044635
0.10354534,1988,1991.15420424632,1993.47027145289,1980.4933455852
0.10355963,1993,1996.1486184455,1998.44889732961,1979.9166269393
0.10357392,1996,1999.14186548699,2001.42394661362,1979.41060236111
0.10358821,2002,2005.13381121915,2007.39501994001,1978.98016312679
0.1036025,1996,1999.12566818366,2001.36575767625,1978.62584001318
0.10361679,1998,2001.11797528847,2003.33777836743,1978.34163327884
0.10363108,2009,2012.10844338258,2014.30421725274,1978.1281212407
0.10364537,2017,2020.09626526622,2022.26265741896,1977.99693013977
0.10365966,2035,2038.08049937188,2040.21028025658,1977.96514198807
0.10367395,2021,2024.06410968604,2026.15598335656,1978.04125433077
0.10368824,2026,2029.04884745754,2031.10502366853,1978.21593612481
0.10370253,2011,2014.03484748755,2016.05780759053,1978.47340612689
0.10371682,2021,2024.02143653266,2026.01231746102,1978.80065141346
0.10373111,2025,2028.00605624649,2029.96088195108,1979.19704246525
0.1037454,2026,2028.98991956321,2030.90714464332,1979.66673009313
0.10375969,2023,2025.97396978839,2027.85393920612,1980.20564933825
0.10377398,2029,2031.95753402481,2033.79925052259,1980.80887220633
0.10378827,2022,2024.94115152805,2026.74470009192,1981.47213541209
0.10380256,2023,2025.92549606887,2027.69231229667,1982.18692666356
0.10381685,2024,2026.90949061021,2028.63885918707,1982.94662314763
0.10383114,2021,2023.89367435855,2025.58596189465,1983.74687513491
0.10384543,2023,2025.87791305995,2027.53322091811,1984.58205653918
0.10385972,1998,2000.86516971967,2002.48952700007,1985.43657023099
0.10387401,2007,2009.85450126112,2011.45205102397,1986.28842862276
0.1038883,2002,2004.84321419621,2006.41271423689,1987.13019486749
0.10390259,2035,2037.82807713248,2039.36182747103,1987.97638894673
0.10391688,1954,1956.81932585364,1958.33009998274,1988.81523590913
0.10393117,1983,1985.81749754156,1987.31913830752,1989.59666077962
0.10394546,1971,1973.81329871079,1975.30106049245,1990.30554508623
0.10395975,1974,1976.8102313321,1978.2863744868,1990.94884268408
0.10397404,1956,1958.80910316142,1960.2775030764,1991.51758566393
0.10398833,1972,1974.80816310397,1976.26919266595,1992.00692891961
0.10400262,1972,1974.80498722141,1976.25417334581,1992.42761707526
0.10401691,1985,1987.7999801939,1989.23366253779,1992.79718303725
0.1040312,1983,1985.79341198378,1987.20847346365,1993.12972872246
0.10404549,1972,1974.7885150887,1976.18830533425,1993.42586094399
0.10405978,1983,1985.7835385954,1987.16790603684,1993.68085179714
0.10407407,1997,1999.77511612119,2001.13717981902,1993.9088961662
0.10408836,1995,1997.76499944379,1999.10138687622,1994.12921497808
0.10410265,1998,2000.75467059442,2002.0649767131,1994.34813299747
0.10411694,1991,1993.74480323965,1995.02997261226,1994.56377387991
0.10413123,1960,1962.73997604753,1964.01010994803,1994.7553488827
0.10414552,1958,1960.73951449099,1962.00336152698,1994.88925702204
0.10415981,1957,1959.73937754941,1960.99760245456,1994.95118719423
0.1041741,1969,1971.73767987216,1972.98717798072,1994.94933837757
0.10418839,1943,1945.73778847738,1946.98218993299,1994.88615732085
0.10420268,1949,1951.7405108471,1952.98505896529,1994.74893041993
0.10421697,1954,1956.74167167817,1957.98325873379,1994.5380856698
0.10423126,1945,1947.7432912866,1948.98285118323,1994.26198086128
0.10424555,1960,1962.74402288241,1963.97979649526,1993.92614352925
0.10425984,1961,1963.74252006412,1964.9700576198,1993.54563815573
0.10427413,1977,1979.73864881518,1980.95323584456,1993.14004950283
0.10428842,1985,1987.73146725221,1988.92650984406,1992.73169773486
0.10430271,1994,1996.72191910874,1997.89271571348,1992.34151879827
0.104317,2006,2008.70946665145,2009.85024533441,1991.98764446705
0.10433129,2007,2009.69518831941,2010.80233931307,1991.68505255195
0.10434558,2015,2017.67962366649,2018.75062103869,1991.44182864431
0.10435987,2016,2018.66277349075,2019.69509755817,1991.26348366487
